"id","code","description","gen_liquidation_move","cnab_structure_id/id"
"cnab_occurrence_DJ_bb_240","DJ","BASE DE CÁLCULO IRRF INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DK_bb_240","DK","BASE DE CÁLCULO FGTS INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DL_bb_240","DL","FORMA DE PAGAMENTO INCOMPATÍVEL COM HOLERITE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DM_bb_240","DM","E-MAIL DO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_DV_bb_240","DV","DOC/TED DEVOLVIDO PELO BANCO FAVORECIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D0_bb_240","D0","FINALIDADE DO HOLERITE INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D1_bb_240","D1","MÊS DE COMPETÊNCIA DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D2_bb_240","D2","DIA DA COMPETÊNCIA DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D3_bb_240","D3","CENTRO DE CUSTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D4_bb_240","D4","CAMPO NUMÉRICO DA FUNCIONAL INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D5_bb_240","D5","DATA INÍCIO DE FÉRIAS NÃO NUMÉRICA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D6_bb_240","D6","DATA INÍCIO DE FÉRIAS INCONSISTENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D7_bb_240","D7","DATA FIM DE FÉRIAS NÃO NUMÉRICA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D8_bb_240","D8","DATA FIM DE FÉRIAS INCONSISTENTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_D9_bb_240","D9","NÚMERO DE DEPENDENTES IR INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_EM_bb_240","EM","CONFIRMAÇÃO DE OP EMITIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_EX_bb_240","EX","DEVOLUÇÃO DE OP NÃO SACADA PELO FAVORECIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_E0_bb_240","E0","TIPO DE MOVIMENTO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_E1_bb_240","E1","VALOR 01 DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_E2_bb_240","E2","VALOR 02 DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_E3_bb_240","E3","VALOR 03 DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_E4_bb_240","E4","VALOR 04 DO HOLERITE INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_FC_bb_240","FC","PAGAMENTO EFETUADO ATRAVÉS DE FINANCIAMENTO COMPROR","TRUE","l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_FD_bb_240","FD","PAGAMENTO EFETUADO ATRAVÉS DE FINANCIAMENTO DESCOMPROR","TRUE","l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_HÁ_bb_240","HÁ","ERRO NO LOTE",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_HM_bb_240","HM","ERRO NO REGISTRO HEADER DE ARQUIVO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IB_bb_240","IB","VALOR DO DOCUMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IC_bb_240","IC","VALOR DO ABATIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_ID_bb_240","ID","VALOR DO DESCONTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IE_bb_240","IE","VALOR DA MORA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IF_bb_240","IF","VALOR DA MULTA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IG_bb_240","IG","VALOR DA DEDUÇÃO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IH_bb_240","IH","VALOR DO ACRÉSCIMO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_II_bb_240","II","DATA DE VENCIMENTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IJ_bb_240","IJ","COMPETÊNCIA / PERÍODO REFERÊNCIA / PARCELA INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IK_bb_240","IK","TRIBUTO NÃO LIQUIDÁVEL VIA SISPAG OU NÃO CONVENIADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IL_bb_240","IL","CÓDIGO DE PAGAMENTO / EMPRESA / RECEITA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IM_bb_240","IM","TIPO X FORMA NÃO COMPATÍVEL",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IN_bb_240","IN","BANCO/AGÊNCIA NÃO CADASTRADOS",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IO_bb_240","IO","DAC / VALOR / COMPETÊNCIA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IP_bb_240","IP","DAC DO CÓDIGO DE BARRAS INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IQ_bb_240","IQ","DÍVIDA ATIVA OU NÚMERO DE ETIQUETA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IR_bb_240","IR","PAGAMENTO ALTERADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IS_bb_240","IS","CONCESSIONÁRIA NÃO CONVENIADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IT_bb_240","IT","VALOR DO TRIBUTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IU_bb_240","IU","VALOR DA RECEITA BRUTA ACUMULADA INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IV_bb_240","IV","NÚMERO DO DOCUMENTO ORIGEM INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_IX_bb_240","IX","CÓDIGO DO PRODUTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_LA_bb_240","LA","DATA DE PAGAMENTO DE UM LOTE ALTERADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_LC_bb_240","LC","LOTE DE PAGAMENTOS CANCELADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NA_bb_240","NA","PAGAMENTO CANCELADO POR FALTA DE AUTORIZAÇÃO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NB_bb_240","NB","IDENTIFICAÇÃO DO TRIBUTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NC_bb_240","NC","EXERCÍCIO (ANO BASE) INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_ND_bb_240","ND","CÓDIGO RENAVAM NÃO ENCONTRADO/INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NE_bb_240","NE","UF INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NF_bb_240","NF","CÓDIGO DO MUNICÍPIO INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NG_bb_240","NG","PLACA INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NH_bb_240","NH","OPÇÃO/PARCELA DE PAGAMENTO INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NI_bb_240","NI","TRIBUTO JÁ FOI PAGO OU ESTÁ VENCIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_NR_bb_240","NR","OPERAÇÃO NÃO REALIZADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_PD_bb_240","PD","AQUISIÇÃO CONFIRMADA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_RJ_bb_240","RJ","REGISTRO REJEITADO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_RS_bb_240","RS","PAGAMENTO DISPONÍVEL PARA ANTECIPAÇÃO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_SS_bb_240","SS","PAGAMENTO CANCELADO POR INSUFICIÊNCIA DE SALDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_TA_bb_240","TA","LOTE NÃO ACEITO - TOTAIS DO LOTE COM DIFERENÇA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_TI_bb_240","TI","TITULARIDADE INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_X1_bb_240","X1","FORMA INCOMPATÍVEL COM LAYOUT 010",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_X2_bb_240","X2","NÚMERO DA NOTA FISCAL INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_X3_bb_240","X3","IDENTIFICADOR DE NF/CNPJ INVÁLIDO",,"l10n_br_cnab_structure.cnab_bb_240"
"cnab_occurrence_X4_bb_240","X4","FORMA 32 INVÁLIDA",,"l10n_br_cnab_structure.cnab_bb_240"
